group,job_type,run_name,test_accuracy,train_acc,valid_acc,valid_loss,best_valid_epoch,best_valid_accuracy,test_loss,train_loss
first-steps-motor,motor-shuffled-500epochs,fold-08,0.18,1.0,0.2,8.636730698176793,10,0.20714285714285716,1.6094853925704955,0.002583468763563219
first-steps-motor,motor-shuffled-500epochs,fold-07,0.19,1.0,0.2357142857142857,6.350111048562186,1,0.25,1.610529189109802,0.003094736436934945
first-steps-motor,motor-shuffled-500epochs,fold-06,0.21,1.0,0.15,9.969815622057231,2,0.22142857142857145,1.6090564584732057,0.00018464517583584184
first-steps-motor,motor-shuffled-500epochs,fold-05,0.2,1.0,0.18571428571428572,8.886057605062213,3,0.2,1.6111717987060548,7.183476213633102e-05
first-steps-motor,motor-shuffled-500epochs,fold-04,0.28,1.0,0.1928571428571429,8.433421393803188,5,0.20714285714285716,1.6105182886123657,0.0011782709356072984
first-steps-motor,motor-shuffled-500epochs,fold-03,0.25,1.0,0.1357142857142857,10.340403073174611,9,0.22142857142857145,1.6083810710906985,0.00011747937725181044
first-steps-motor,motor-shuffled-500epochs,fold-02,0.27,1.0,0.22142857142857145,10.573719630071094,15,0.21428571428571427,1.607325849533081,5.593579896448883e-06
first-steps-motor,motor-shuffled-500epochs,fold-00,0.2,1.0,0.21428571428571427,9.805374646186827,10,0.2,1.6101137399673462,2.1511072432010637e-05
first-steps-motor,CV-motor,motor-classifier_fold-09,1.0,1.0,0.9857142857142858,0.041268530584755984,27,1.0,0.00011024023751815548,0.0010289432082493302
first-steps-motor,CV-motor,motor-classifier_fold-08,1.0,1.0,0.95,0.1454471879699354,45,0.9785714285714284,0.00040705038932628665,0.0006384052873502886
first-steps-motor,CV-motor-shuffled,motor-classifier-shuffled_fold-09,0.17,0.39107142857142857,0.15,1.7898414713995798,2,0.2,1.676576714515686,1.469714333329882
first-steps-motor,CV-motor-shuffled,motor-classifier-shuffled_fold-08,0.31,0.3696428571428571,0.15,1.6337181670325145,14,0.2,1.6025694131851196,1.5459085387842997
first-steps-motor,CV-motor-shuffled,motor-classifier-shuffled_fold-07,0.18,0.40714285714285714,0.2357142857142857,1.6410998582839966,1,0.20714285714285716,1.6794590330123902,1.490042613233839
first-steps-motor,CV-motor-shuffled,motor-classifier-shuffled_fold-06,0.28,0.3482142857142857,0.17857142857142858,1.6140996490206037,8,0.22142857142857145,1.6069241046905518,1.59231550352914
first-steps-motor,CV-motor-shuffled,motor-classifier-shuffled_fold-05,0.11,0.3339285714285714,0.2571428571428571,1.6193011351994109,22,0.2,1.6073494529724122,1.5797794997692107
first-steps-motor,CV-motor-shuffled,motor-classifier-shuffled_fold-04,0.24,0.4196428571428571,0.17142857142857143,1.6121107169560025,20,0.21428571428571427,1.6081314849853516,1.5783527323177882
first-steps-motor,CV-motor-shuffled,motor-classifier-shuffled_fold-03,0.05,0.39107142857142857,0.2,1.6262510640280587,14,0.24285714285714283,1.7109778022766111,1.5128535943371908
first-steps-motor,CV-motor-shuffled,motor-classifier-shuffled_fold-02,0.14,0.325,0.21428571428571427,1.613471405846732,20,0.20714285714285716,1.606063232421875,1.5870030360562462
first-steps-motor,CV-motor-shuffled,motor-classifier-shuffled_fold-01,0.25,0.3392857142857143,0.22857142857142856,1.6115725108555383,51,0.22142857142857145,1.6185642957687378,1.5626788548060826
first-steps-motor,CV-motor-shuffled,motor-classifier-shuffled_fold-00,0.2,0.3875,0.16428571428571428,1.6164902584893364,8,0.2,1.6122105026245117,1.5870617500373296
first-steps-motor,CV-motor,motor-classifier_fold-07,1.0,1.0,0.9785714285714284,0.17671964250836722,25,0.9714285714285714,0.0011111849854651722,0.00027189702715725773
first-steps-motor,CV-motor,motor-classifier_fold-06,1.0,0.9982142857142856,0.9857142857142858,0.177227028610646,25,0.9785714285714284,1.5162967349624524e-06,0.00556005085522918
first-steps-motor,CV-motor,motor-classifier_fold-05,1.0,1.0,0.9857142857142858,0.1406351238113377,43,0.9857142857142858,0.004694748872607306,0.0007375424624563769
first-steps-motor,CV-motor,motor-classifier_fold-04,1.0,1.0,0.9785714285714284,0.09160295064935638,35,0.9857142857142858,0.00011016162928136452,0.000965699195498258
first-steps-motor,CV-motor,motor-classifier_fold-03,1.0,1.0,0.9857142857142858,0.02624915249660518,48,0.9928571428571428,0.0011250464398892743,0.00034447583753263494
first-steps-motor,CV-motor,motor-classifier_fold-02,1.0,1.0,0.95,0.26820368329054933,18,0.9642857142857144,4.884738443621472e-05,0.0004203547630118797
first-steps-motor,CV-motor,motor-classifier_fold-01,1.0,1.0,0.9428571428571428,0.4372101110209119,18,0.9428571428571428,0.00028294431223557125,9.132854708731994e-05
first-steps-motor,CV-motor,motor-classifier_fold-00,1.0,1.0,0.9571428571428572,0.2331840777030058,37,0.9642857142857144,0.0003441437458997143,0.0011544577332920677
