train_loss,valid_loss,train_acc,valid_acc
1.6084647442340851,1.6086896326667384,0.2232,0.21210526315789474
1.6021949991226196,1.6031194609089903,0.2502,0.25263157894736843
1.0889689870834351,1.149651876625262,0.6614,0.6031578947368421
0.43211200103443115,0.550023533743316,0.8481,0.8047368421052632
0.27816187560507094,0.3966695206053555,0.918,0.8657894736842106
0.2287001591486798,0.34865513115416674,0.9293,0.8905263157894737
0.19044286845615863,0.3348066841907597,0.9392,0.8973684210526316
0.16343217483163316,0.3039353751364213,0.9504,0.9105263157894737
0.14327582528090244,0.30287491546851875,0.9546,0.9063157894736842
0.13126427537605742,0.29451297215617256,0.9585,0.9110526315789473
0.11500806400835391,0.2938128323251945,0.9615,0.9131578947368421
0.11285752031829052,0.2970143248341475,0.9639,0.9189473684210526
0.09833514966395615,0.2898390564837322,0.9689,0.9136842105263158
0.08984227687147116,0.29313872393205714,0.9709,0.9194736842105263
0.08138362599632556,0.285592818861725,0.9734,0.9242105263157895
0.07764491018476753,0.28576058650577113,0.9749,0.9252631578947368
0.077089138312515,0.29833949307987495,0.9757,0.9221052631578948
0.07005735710171108,0.28590650854235133,0.9774,0.9236842105263158
0.06351197509447053,0.28242445943672584,0.9798,0.9268421052631579
0.06475918058856862,0.2893724529938211,0.9795,0.9247368421052632
0.0567032938755661,0.2859416223676269,0.9836,0.9247368421052632
0.057942914160544035,0.30221497989528967,0.9831,0.9268421052631579
0.05001968553146757,0.29269655481094725,0.9856,0.93
0.04994234509256369,0.29493495456332325,0.9847,0.93
0.04637739783899787,0.2805597077845615,0.9863,0.9321052631578948
0.046173490171713044,0.30387462926857134,0.9857,0.9263157894736842
0.04635558295370528,0.3157665822200372,0.9846,0.9242105263157895
0.045611411354689456,0.30699724322668615,0.985,0.9284210526315789
0.03902854331903699,0.30813683974586953,0.9879,0.93
0.03618208577624129,0.28363365563522214,0.989,0.9305263157894736
0.03578815229881021,0.29299931182878697,0.9892,0.9336842105263158
0.03353151935565945,0.2879486329874549,0.9898,0.9321052631578948
0.03196894297521769,0.3024321326632493,0.9912,0.93
0.03712664528807084,0.3087740351439588,0.9889,0.9289473684210526
0.02701461709517271,0.2957684084293271,0.9926,0.9321052631578948
