,input1,input2,mean_diff,sem,t_df19,p,sidak_sig
0,full-hcp_emotion_scratch,full-hcp_emotion_pretrained,-0.22745097067213904,0.017141740399331373,-13.268837666040664,4.6603235738176824e-11,True
1,full-hcp_emotion_scratch,full-hcp_gambling_scratch,0.4274554018332598,0.008866373113560429,48.21085198630993,2.4732549534484827e-21,True
2,full-hcp_emotion_scratch,full-hcp_gambling_pretrained,0.4291215274372421,0.010113052887967697,42.43244173555169,2.738420444395134e-20,True
3,full-hcp_emotion_scratch,full-hcp_language_scratch,-0.13975629500371273,0.014611960091428003,-9.56451387283077,1.0729849706544728e-08,True
4,full-hcp_emotion_scratch,full-hcp_language_pretrained,-0.2392352827814937,0.014179005796708643,-16.87250052729558,6.834371380253569e-13,True
5,full-hcp_emotion_scratch,full-hcp_motor_scratch,-0.2973140238808258,0.015185503991445042,-19.578805158414344,4.687775956068655e-14,True
6,full-hcp_emotion_scratch,full-hcp_motor_pretrained,-0.32815197702281856,0.011231404629655715,-29.217358633519172,2.9602717591842934e-17,True
7,full-hcp_emotion_scratch,full-hcp_relational_scratch,0.39145451458840447,0.0136986586061972,28.57612017656331,4.472667446231025e-17,True
8,full-hcp_emotion_scratch,full-hcp_relational_pretrained,0.24316689608875888,0.01196066005872545,20.33055825471485,2.363537800224614e-14,True
9,full-hcp_emotion_scratch,full-hcp_social_scratch,0.10860251547782869,0.02621301962512308,4.143075350759738,0.0005526376010503022,False
10,full-hcp_emotion_scratch,full-hcp_social_pretrained,-0.05870453056260279,0.013320867582457341,-4.406959997103536,0.0003028871817188616,False
11,full-hcp_emotion_scratch,full-hcp_wm_scratch,0.4975224984191825,0.03535861187474553,14.070758778133253,1.685925954563299e-11,True
12,full-hcp_emotion_scratch,full-hcp_wm_pretrained,0.16476865795961643,0.012111260355896453,13.60458392585026,3.0264334798908744e-11,True
13,full-hcp_emotion_scratch,motor-hcp_emotion_scratch,-0.05759339870513565,0.012533459159217978,-4.595171849487175,0.00019761139882725965,False
14,full-hcp_emotion_scratch,motor-hcp_emotion_pretrained,-0.21650145124641068,0.02205697413413214,-9.815555385332061,7.097522724859033e-09,True
15,full-hcp_emotion_scratch,motor-hcp_gambling_scratch,0.3923429776343995,0.00888547940392938,44.15552158737722,1.2947575631872552e-20,True
16,full-hcp_emotion_scratch,motor-hcp_gambling_pretrained,0.4239461965249144,0.009268781928057246,45.739148877977144,6.668248179416681e-21,True
17,full-hcp_emotion_scratch,motor-hcp_language_scratch,-0.14222274208250166,0.01610614313305772,-8.830341373943877,3.751317943392293e-08,True
18,full-hcp_emotion_scratch,motor-hcp_language_pretrained,-0.25355142076473347,0.01851580913373508,-13.693780214161565,2.7024790554624798e-11,True
19,full-hcp_emotion_scratch,motor-hcp_motor_scratch,-0.32388363339686277,0.010384851489024469,-31.188085235418978,8.774233832341085e-18,True
20,full-hcp_emotion_scratch,motor-hcp_motor_pretrained,-0.3621216156436047,0.012344825195281087,-29.333879574255025,2.7489542005398822e-17,True
21,full-hcp_emotion_scratch,motor-hcp_relational_scratch,0.2189471453449153,0.019063028136665907,11.485433676918907,5.411686464925389e-10,True
22,full-hcp_emotion_scratch,motor-hcp_relational_pretrained,0.2289482563328779,0.015829385305911305,14.463496333453941,1.042703387388083e-11,True
23,full-hcp_emotion_scratch,motor-hcp_social_scratch,-0.08312523638818675,0.012059054882260452,-6.893180037721584,1.42009806296683e-06,True
24,full-hcp_emotion_scratch,motor-hcp_social_pretrained,-0.08376733805418575,0.011287560945332314,-7.421208041301926,5.019244124393081e-07,True
25,full-hcp_emotion_scratch,motor-hcp_wm_scratch,0.15089846373488425,0.014282459937363854,10.565299282942426,2.154852303640476e-09,True
26,full-hcp_emotion_scratch,motor-hcp_wm_pretrained,0.16827125656802894,0.006727308597158886,25.013161524817544,5.27533689798372e-16,True
27,full-hcp_emotion_pretrained,full-hcp_gambling_scratch,0.6549063725053987,0.013871069591654864,47.213833668558955,3.6672841266707774e-21,True
28,full-hcp_emotion_pretrained,full-hcp_gambling_pretrained,0.656572498109381,0.014032099772447867,46.7907518302119,4.3452716391765435e-21,True
29,full-hcp_emotion_pretrained,full-hcp_language_scratch,0.08769467566842633,0.02041218182799819,4.296193146199624,0.0003897434904111757,False
30,full-hcp_emotion_pretrained,full-hcp_language_pretrained,-0.011784312109354645,0.02159266632664431,-0.5457553009474042,0.5915848296969988,False
31,full-hcp_emotion_pretrained,full-hcp_motor_scratch,-0.06986305320868676,0.016596225701649012,-4.209574783123437,0.00047483117836853586,False
32,full-hcp_emotion_pretrained,full-hcp_motor_pretrained,-0.10070100635067951,0.014822070224858042,-6.793990638486802,1.7337700385551828e-06,True
33,full-hcp_emotion_pretrained,full-hcp_relational_scratch,0.6189054852605435,0.015550128176547173,39.800667765168754,9.125228970545576e-20,True
34,full-hcp_emotion_pretrained,full-hcp_relational_pretrained,0.47061786676089784,0.017360057220353175,27.10923476733353,1.1898207608663231e-16,True
35,full-hcp_emotion_pretrained,full-hcp_social_scratch,0.3360534861499677,0.028204841134083364,11.91474486781892,2.922180842798974e-10,True
36,full-hcp_emotion_pretrained,full-hcp_social_pretrained,0.16874644010953627,0.01536640038685881,10.981520451194708,1.1411641271322616e-09,True
37,full-hcp_emotion_pretrained,full-hcp_wm_scratch,0.7249734690913214,0.0338213545609489,21.435376509975637,9.00102347638945e-15,True
38,full-hcp_emotion_pretrained,full-hcp_wm_pretrained,0.3922196286317555,0.01582720752356786,24.781353757301286,6.264716975665364e-16,True
