,input1,input2,mean_diff,sem,t_df19,p,sidak_sig
0,full-hcp_emotion_001,full-hcp_emotion_010,-0.30173704240523314,0.03572306707471742,-8.44656036319972,7.410742810174695e-08,True
1,full-hcp_emotion_001,full-hcp_emotion_025,-0.34587315302620625,0.04112090652873704,-8.411126656084184,7.898999248220198e-08,True
2,full-hcp_emotion_001,full-hcp_emotion_050,-0.35536856740344114,0.03939279838072163,-9.021155693710613,2.692538338957177e-08,True
3,full-hcp_emotion_001,full-hcp_emotion_075,-0.3838277793303205,0.03620316664266141,-10.602049901292945,2.0357520280980573e-09,True
4,full-hcp_emotion_001,full-hcp_emotion_120,-0.416791589061154,0.04679559495078889,-8.906641522550567,3.283667171909639e-08,True
5,full-hcp_emotion_001,full-hcp_gambling_001,0.2399065263729549,0.03654295471054605,6.565055515440285,2.7620382024243845e-06,True
6,full-hcp_emotion_001,full-hcp_gambling_010,0.23281115027562152,0.03848619538326826,6.049211878626885,8.089789060361516e-06,True
7,full-hcp_emotion_001,full-hcp_gambling_025,0.2352633444329634,0.03665517020152312,6.41828541893355,3.73663592762496e-06,True
8,full-hcp_emotion_001,full-hcp_gambling_050,0.24823163625971448,0.035521010946461436,6.98830437663664,1.174191353866346e-06,True
9,full-hcp_emotion_001,full-hcp_gambling_075,0.24240331700157972,0.034604393934484154,7.004986634371268,1.1358248966764366e-06,True
10,full-hcp_emotion_001,full-hcp_gambling_120,0.24986959425873426,0.03839593447285383,6.5077096752364145,3.1071652364965843e-06,True
11,full-hcp_emotion_001,full-hcp_language_001,-0.04343396857264019,0.05382611225151081,-0.8069311855496506,0.42969211248779904,False
12,full-hcp_emotion_001,full-hcp_language_010,-0.3608129763749417,0.04252455096948638,-8.484815668808452,6.918683548819397e-08,True
13,full-hcp_emotion_001,full-hcp_language_025,-0.37998937722299037,0.034068953034083284,-11.153538438438103,8.820807754817605e-10,True
14,full-hcp_emotion_001,full-hcp_language_050,-0.4219980163668418,0.03680293743003519,-11.466422134621398,5.563654998101994e-10,True
15,full-hcp_emotion_001,full-hcp_language_075,-0.49635441625762244,0.03968923888879309,-12.506020023421923,1.285679634768699e-10,True
16,full-hcp_emotion_001,full-hcp_language_120,-0.5556311977705205,0.049188958152797356,-11.295852130971022,7.14419515330325e-10,True
17,full-hcp_emotion_001,full-hcp_motor_001,0.388641199628205,0.055074284235912464,7.056672728844698,1.024978866448425e-06,True
18,full-hcp_emotion_001,full-hcp_motor_010,-0.6338294589834352,0.03398932802834103,-18.647896141251586,1.1323741321819312e-13,True
19,full-hcp_emotion_001,full-hcp_motor_025,-0.6498570319077627,0.039473208308100645,-16.463243292397888,1.0591489234768852e-12,True
20,full-hcp_emotion_001,full-hcp_motor_050,-0.6762842224725852,0.03739267836660495,-18.086006459397364,1.966159473493912e-13,True
21,full-hcp_emotion_001,full-hcp_motor_075,-0.7010715093683466,0.04072712946930288,-17.21386993150997,4.776223775696932e-13,True
22,full-hcp_emotion_001,full-hcp_motor_120,-0.7252421988169455,0.038972901361088996,-18.608883954968665,1.176023996783922e-13,True
23,full-hcp_emotion_001,full-hcp_relational_001,0.24644843066251934,0.039206532404971635,6.285902260289363,4.9195321283113275e-06,True
24,full-hcp_emotion_001,full-hcp_relational_010,0.18946137305439942,0.041658761589169785,4.5479357961436495,0.00021992755538004,False
25,full-hcp_emotion_001,full-hcp_relational_025,0.13504475887819703,0.03820987581281798,3.5342893952273613,0.002215939201533803,False
