,mean_diff,sem,t_df19,p,sidak_sig
motor.*scratch - relational.*scratch,0.32294463593407424,0.009199392061563534,35.104997566457264,9.613473715065595e-19,True
motor.*scratch - relational.*pretrained,0.25380138217823267,0.008290171007674787,30.614734236877762,1.240137910877673e-17,True
motor.*scratch - social.*scratch,0.030482445512235355,0.014142879196757357,2.1553210692221914,0.044172153819682106,False
motor.*scratch - social.*pretrained,-0.05349212834097986,0.007542203031078596,-7.092374485353792,9.549967490909857e-07,True
motor.*scratch - wm.*scratch,0.3419542870444477,0.016775578433266256,20.38405342651831,2.253120207329905e-14,True
motor.*scratch - wm.*pretrained,0.184263763231237,0.007601997859723049,24.238860182729645,9.423468090608603e-16,True
motor.*pretrained - relational.*scratch,0.35806684162990166,0.011299169993203012,31.689658784255464,6.51517632255598e-18,True
motor.*pretrained - relational.*pretrained,0.2889235878740601,0.007456880930387146,38.745903357083606,1.5111278130754886e-19,True
motor.*pretrained - social.*scratch,0.06560465120806273,0.013880197304735992,4.726492698030892,0.00014687656023459048,True
motor.*pretrained - social.*pretrained,-0.018369922645152487,0.008095398335518988,-2.269180821474032,0.035095537307510506,False
motor.*pretrained - wm.*scratch,0.3770764927402751,0.017771718748224523,21.21778417059109,1.0845926820291917e-14,True
motor.*pretrained - wm.*pretrained,0.21938596892706436,0.006690463624920412,32.7908469765687,3.4425582817198317e-18,True
relational.*scratch - relational.*pretrained,-0.06914325375584154,0.010974338036215697,-6.300448694733695,4.772550819664805e-06,True
relational.*scratch - social.*scratch,-0.29246219042183885,0.01803760185486584,-16.21402849309172,1.3894854812278206e-12,True
relational.*scratch - social.*pretrained,-0.37643676427505407,0.01369031087198614,-27.496582641183075,9.145034816663561e-17,True
relational.*scratch - wm.*scratch,0.01900965111037347,0.020730552188346112,0.9169872050518719,0.3706428915481902,False
relational.*scratch - wm.*pretrained,-0.13868087270283722,0.014068358917375498,-9.857643916914554,6.627100056439078e-09,True
relational.*pretrained - social.*scratch,-0.22331893666599734,0.01798110819272014,-12.419642564433852,1.446717038723526e-10,True
relational.*pretrained - social.*pretrained,-0.3072935105192126,0.012150257018064377,-25.29111195445038,4.3012575047245005e-16,True
relational.*pretrained - wm.*scratch,0.08815290486621499,0.01927726240740682,4.57289541446219,0.00020783506525812783,True
relational.*pretrained - wm.*pretrained,-0.06953761894699569,0.009897433725620346,-7.025823145144349,1.0897178770271407e-06,True
social.*scratch - social.*pretrained,-0.08397457385321523,0.014197713387391935,-5.914654815316076,1.0767533228336442e-05,True
social.*scratch - wm.*scratch,0.3114718415322123,0.022116485598238256,14.08324302469753,1.6600858553635358e-11,True
social.*scratch - wm.*pretrained,0.15378131771900164,0.014615242816643155,10.521981717873526,2.3046368377686398e-09,True
social.*pretrained - wm.*scratch,0.3954464153854276,0.01749882207408203,22.598459125493584,3.419533803858103e-15,True
social.*pretrained - wm.*pretrained,0.23775589157221688,0.006119361774874518,38.85305368746437,1.4347747903975462e-19,True
wm.*scratch - wm.*pretrained,-0.1576905238132107,0.016918407248534304,-9.320648303159384,1.6144367665941922e-08,True
