,input1,input2,mean_diff,sem,t_df19,p,sidak_sig
0,full-hcp_emotion,full-hcp_gambling,0.5420139499713204,0.007353108777321156,73.71221702078284,8.091785519040025e-25,True
1,full-hcp_emotion,full-hcp_language,-0.07577030355653366,0.013998591553518137,-5.412709076256391,3.1893064529776604e-05,True
2,full-hcp_emotion,full-hcp_motor,-0.19900751511575276,0.009842336559983103,-20.219539730522527,2.6112224581162193e-14,True
3,full-hcp_emotion,full-hcp_relational,0.4310361906746512,0.010040997854586764,42.92762501465453,2.2014231020037868e-20,True
4,full-hcp_emotion,full-hcp_social,0.13867447779368253,0.014550794293926113,9.530371675419046,1.1356654350241959e-08,True
5,full-hcp_emotion,full-hcp_wm,0.4448710635254689,0.019408878234692114,22.92100852744239,2.636121228838437e-15,True
6,full-hcp_emotion,motor-hcp_emotion,-0.02332193963970358,0.010915103569620105,-2.13666682051605,0.045848895734564056,False
7,full-hcp_emotion,motor-hcp_gambling,0.5218700724157265,0.008774474292958004,59.47593610645776,4.693288980695279e-23,True
8,full-hcp_emotion,motor-hcp_language,-0.08416159608754809,0.014916203266260985,-5.64229345666759,1.9338245302486626e-05,True
9,full-hcp_emotion,motor-hcp_motor,-0.22927713918416429,0.008157670439843216,-28.105712393619417,6.08858396656017e-17,True
10,full-hcp_emotion,motor-hcp_relational,0.3376731861749661,0.014314300294230848,23.589919118230313,1.553386369492821e-15,True
11,full-hcp_emotion,motor-hcp_social,0.030279198114883322,0.010221890214058565,2.9621916769600163,0.008003607041397317,False
12,full-hcp_emotion,motor-hcp_wm,0.273310345487526,0.010023959318654204,27.265707770671604,1.0693609793478867e-16,True
13,full-hcp_gambling,full-hcp_language,-0.6177842535278539,0.010634059196229693,-58.094866892116734,7.317023100018991e-23,True
14,full-hcp_gambling,full-hcp_motor,-0.7410214650870731,0.008953445621871347,-82.7638315328477,9.018938830968856e-26,True
15,full-hcp_gambling,full-hcp_relational,-0.11097775929666927,0.008709589857749039,-12.742018982435882,9.343913188834014e-11,True
16,full-hcp_gambling,full-hcp_social,-0.4033394721776379,0.0160884317678691,-25.070154630183687,5.058202066940272e-16,True
17,full-hcp_gambling,full-hcp_wm,-0.09714288644585148,0.018947143222151255,-5.1270466110311,5.990776679549117e-05,True
18,full-hcp_gambling,motor-hcp_emotion,-0.565335889611024,0.010344183232785346,-54.652540165686695,2.3200531648214306e-22,True
19,full-hcp_gambling,motor-hcp_gambling,-0.020143877555593957,0.006858863135937708,-2.9369120153525254,0.008462603959360849,False
20,full-hcp_gambling,motor-hcp_language,-0.6261755460588685,0.014041669479415674,-44.59409523752199,1.0749205834010544e-20,True
21,full-hcp_gambling,motor-hcp_motor,-0.7712910891554846,0.006461933343059675,-119.35918373158029,8.699871949386476e-29,True
22,full-hcp_gambling,motor-hcp_relational,-0.2043407637963543,0.012884375666348924,-15.859578227763583,2.057240051535208e-12,True
23,full-hcp_gambling,motor-hcp_social,-0.511734751856437,0.009137739368867654,-56.002336157662924,1.4633928587687902e-22,True
24,full-hcp_gambling,motor-hcp_wm,-0.2687036044837944,0.00666251592713337,-40.33065097668103,7.11717018032583e-20,True
25,full-hcp_language,full-hcp_motor,-0.12323721155921914,0.01132095675194352,-10.885759415878209,1.3187839800532105e-09,True
26,full-hcp_language,full-hcp_relational,0.5068064942311847,0.01117888038427727,45.336069159841045,7.878077621773527e-21,True
27,full-hcp_language,full-hcp_social,0.21444478135021622,0.019342961402248657,11.08645035735255,9.749278156181038e-10,True
28,full-hcp_language,full-hcp_wm,0.5206413670820027,0.022008647099090194,23.656218609799296,1.475187479892556e-15,True
29,full-hcp_language,motor-hcp_emotion,0.052448363916830075,0.01635236751227241,3.2073865681815006,0.0046367559533889305,False
30,full-hcp_language,motor-hcp_gambling,0.5976403759722602,0.010781040990924739,55.43438490544111,1.7741279456058104e-22,True
31,full-hcp_language,motor-hcp_language,-0.008391292531014427,0.013129354890221736,-0.6391245115374218,0.5303724546877648,False
32,full-hcp_language,motor-hcp_motor,-0.1535068356276306,0.010225133546279538,-15.01269738266497,5.422701656963297e-12,True
33,full-hcp_language,motor-hcp_relational,0.4134434897314998,0.014936582699313616,27.679925057456337,8.08388146257088e-17,True
34,full-hcp_language,motor-hcp_social,0.10604950167141695,0.010541819298914805,10.059886122534266,4.7799924412011124e-09,True
35,full-hcp_language,motor-hcp_wm,0.3490806490440598,0.009364983991432329,37.2750929807697,3.1238133304239966e-19,True
36,full-hcp_motor,full-hcp_relational,0.6300437057904038,0.00945938787280194,66.60512437616964,5.515340253307323e-24,True
37,full-hcp_motor,full-hcp_social,0.33768199290943535,0.017843405404451593,18.924750363245685,8.675652952272916e-14,True
38,full-hcp_motor,full-hcp_wm,0.6438785786412218,0.01602086011300579,40.190013151573496,7.600004718561223e-20,True
39,full-hcp_motor,motor-hcp_emotion,0.17568557547604918,0.013601126750999833,12.91698685648484,7.397583111484803e-11,True
40,full-hcp_motor,motor-hcp_gambling,0.7208775875314791,0.0099351316905726,72.55843304175993,1.0909012802773893e-24,True
41,full-hcp_motor,motor-hcp_language,0.1148459190282047,0.013885126025716347,8.271147040041336,1.017956038120621e-07,True
42,full-hcp_motor,motor-hcp_motor,-0.030269624068411494,0.007074155021438137,-4.278903130717348,0.00040540517845269225,True
43,full-hcp_motor,motor-hcp_relational,0.5366807012907189,0.011834090940105643,45.35039522739445,7.831337180609773e-21,True
44,full-hcp_motor,motor-hcp_social,0.22928671323063612,0.011018782110353413,20.808716510983086,1.547365967877659e-14,True
45,full-hcp_motor,motor-hcp_wm,0.47231786060327885,0.008817506324438156,53.56592252099967,3.389952861743522e-22,True
46,full-hcp_relational,full-hcp_social,-0.2923617128809687,0.01783097368257515,-16.396284245917066,1.1388840533373109e-12,True
47,full-hcp_relational,full-hcp_wm,0.013834872850817814,0.019146224232509824,0.7225901401137117,0.47873247974386623,False
48,full-hcp_relational,motor-hcp_emotion,-0.45435813031435474,0.01317377902202008,-34.48958188496189,1.3386653209634374e-18,True
49,full-hcp_relational,motor-hcp_gambling,0.09083388174107532,0.009283541286681074,9.784400040466563,7.468099035493789e-09,True
50,full-hcp_relational,motor-hcp_language,-0.5151977867621991,0.010733724122907726,-47.99804623846005,2.6883724537487106e-21,True
51,full-hcp_relational,motor-hcp_motor,-0.6603133298588155,0.009111740938786724,-72.46840469838244,1.1168504227256085e-24,True
52,full-hcp_relational,motor-hcp_relational,-0.09336300449968504,0.010022266714794685,-9.315557763181886,1.6283864066967254e-08,True
53,full-hcp_relational,motor-hcp_social,-0.4007569925597679,0.00865287391511632,-46.31490028528638,5.268236199574396e-21,True
54,full-hcp_relational,motor-hcp_wm,-0.15772584518712512,0.008696942249096997,-18.13578159651477,1.8712133875662738e-13,True
55,full-hcp_social,full-hcp_wm,0.3061965857317864,0.021438423673693707,14.282607265920804,1.2992029191017418e-11,True
56,full-hcp_social,motor-hcp_emotion,-0.1619964174333861,0.017694504151115693,-9.155182651624163,2.138779133740544e-08,True
57,full-hcp_social,motor-hcp_gambling,0.38319559462204394,0.015568139316088738,24.61409079414097,7.098667732090942e-16,True
58,full-hcp_social,motor-hcp_language,-0.22283607388123064,0.02136299849359714,-10.430936179114484,2.65599926862769e-09,True
59,full-hcp_social,motor-hcp_motor,-0.3679516169778468,0.015781896841118123,-23.314790400808246,1.9275435962875672e-15,True
60,full-hcp_social,motor-hcp_relational,0.19899870838128356,0.022637592398603662,8.79063042028967,4.0216473138435236e-08,True
61,full-hcp_social,motor-hcp_social,-0.10839527967879922,0.018852537231011067,-5.749638807263395,1.5336578450948162e-05,True
62,full-hcp_social,motor-hcp_wm,0.13463586769384353,0.01808315530164788,7.4453747395275895,4.790243160884464e-07,True
63,full-hcp_wm,motor-hcp_emotion,-0.46819300316517254,0.02045327875854576,-22.89085328040879,2.7006409556439257e-15,True
64,full-hcp_wm,motor-hcp_gambling,0.07699900889025751,0.018963984054883712,4.060275977211038,0.000667645540451052,False
65,full-hcp_wm,motor-hcp_language,-0.5290326596130173,0.02549637951907405,-20.749324790103767,1.6301638395790003e-14,True
66,full-hcp_wm,motor-hcp_motor,-0.6741482027096333,0.018143160733332428,-37.15715318947129,3.3151087791643433e-19,True
67,full-hcp_wm,motor-hcp_relational,-0.10719787735050286,0.023248280219969907,-4.611002462815361,0.0001906567121317348,True
68,full-hcp_wm,motor-hcp_social,-0.41459186541058557,0.020906954905527218,-19.83033240775676,3.7180538149900223e-14,True
69,full-hcp_wm,motor-hcp_wm,-0.17156071803794293,0.019303346143308277,-8.887615482014056,3.394288387768324e-08,True
70,motor-hcp_emotion,motor-hcp_gambling,0.54519201205543,0.013302874677072423,40.98302248874609,5.264222794975168e-20,True
71,motor-hcp_emotion,motor-hcp_language,-0.0608396564478445,0.018977645466881844,-3.2058590489540255,0.004652666315553466,False
72,motor-hcp_emotion,motor-hcp_motor,-0.20595519954446068,0.01108598208706269,-18.577984153953288,1.2118495687650556e-13,True
73,motor-hcp_emotion,motor-hcp_relational,0.36099512581466964,0.01667195792180357,21.65283330895171,7.48381810925503e-15,True
74,motor-hcp_emotion,motor-hcp_social,0.0536011377545869,0.013715669479230634,3.9080219770353923,0.0009453294609128669,False
75,motor-hcp_emotion,motor-hcp_wm,0.29663228512722956,0.011167571927373022,26.561931909312285,1.736419909175757e-16,True
76,motor-hcp_gambling,motor-hcp_language,-0.6060316685032746,0.011899334576141337,-50.92987886216709,8.787241297450247e-22,True
77,motor-hcp_gambling,motor-hcp_motor,-0.7511472115998907,0.007837278227206413,-95.84286659523585,5.587988964543681e-27,True
78,motor-hcp_gambling,motor-hcp_relational,-0.18419688624076036,0.014351729343809074,-12.834473242084767,8.256371462673956e-11,True
79,motor-hcp_gambling,motor-hcp_social,-0.49159087430084314,0.007105315402788737,-69.1863550642524,2.685692077564003e-24,True
80,motor-hcp_gambling,motor-hcp_wm,-0.24855972692820041,0.007842610819705916,-31.693492466010305,6.500483230200731e-18,True
81,motor-hcp_language,motor-hcp_motor,-0.14511554309661617,0.013231426579123295,-10.96749033287017,1.1655404557888482e-09,True
82,motor-hcp_language,motor-hcp_relational,0.4218347822625142,0.014359982261322447,29.375717503404935,2.6770012541511746e-17,True
83,motor-hcp_language,motor-hcp_social,0.11444079420243139,0.010463523650808984,10.937118127848207,1.2201923947327538e-09,True
84,motor-hcp_language,motor-hcp_wm,0.3574719415750741,0.012855042745156125,27.807915435347123,7.42038470456085e-17,True
85,motor-hcp_motor,motor-hcp_relational,0.5669503253591304,0.01303417467490331,43.49721708508069,1.7178270543202343e-20,True
86,motor-hcp_motor,motor-hcp_social,0.2595563372990476,0.009057031596474164,28.657991808275348,4.241008458211944e-17,True
87,motor-hcp_motor,motor-hcp_wm,0.5025874846716902,0.005723901559371758,87.80505385331138,2.940818926690457e-26,True
88,motor-hcp_relational,motor-hcp_social,-0.3073939880600828,0.014570692509629942,-21.09673152850645,1.2040587521925518e-14,True
89,motor-hcp_relational,motor-hcp_wm,-0.06436284068744007,0.013451606602092396,-4.784769774446751,0.00012880568157890208,True
90,motor-hcp_social,motor-hcp_wm,0.2430311473726427,0.007932345475197526,30.637993281122302,1.2227054671340139e-17,True
