accuracy,algorithm,prct_occluded
0.9026315789473685,lrp,0.0
0.45526315789473687,lrp,0.2
0.2736842105263158,lrp,0.4
0.2,lrp,0.6000000000000001
0.1763157894736842,lrp,0.8
0.15789473684210525,lrp,1.0
0.14473684210526316,lrp,1.2000000000000002
0.1368421052631579,lrp,1.4000000000000001
0.12105263157894737,lrp,1.6
0.12368421052631579,lrp,1.8
0.11578947368421053,lrp,2.0
0.1,lrp,2.5
0.10263157894736842,lrp,3.0
0.10526315789473684,lrp,3.5
0.10789473684210527,lrp,4.0
0.11578947368421053,lrp,4.5
0.11578947368421053,lrp,5.0
0.11842105263157894,lrp,6.0
0.11578947368421053,lrp,7.0
0.11315789473684211,lrp,8.0
0.11052631578947368,lrp,9.0
0.11052631578947368,lrp,10.0
0.11052631578947368,lrp,12.0
0.10789473684210527,lrp,14.0
0.1,lrp,16.0
0.10789473684210527,lrp,18.0
0.10789473684210527,lrp,20.0
0.10789473684210527,lrp,22.0
0.11315789473684211,lrp,24.0
0.11842105263157894,lrp,26.0
0.10789473684210527,lrp,28.0
0.10789473684210527,lrp,30.0
0.9026315789473685,guidedbackprop,0.0
0.4368421052631579,guidedbackprop,0.2
0.21052631578947367,guidedbackprop,0.4
0.14473684210526316,guidedbackprop,0.6000000000000001
0.10526315789473684,guidedbackprop,0.8
0.07105263157894737,guidedbackprop,1.0
0.07631578947368421,guidedbackprop,1.2000000000000002
0.07368421052631578,guidedbackprop,1.4000000000000001
0.05526315789473684,guidedbackprop,1.6
0.060526315789473685,guidedbackprop,1.8
0.034210526315789476,guidedbackprop,2.0
0.034210526315789476,guidedbackprop,2.5
0.02368421052631579,guidedbackprop,3.0
0.03684210526315789,guidedbackprop,3.5
0.04736842105263158,guidedbackprop,4.0
0.05263157894736842,guidedbackprop,4.5
0.04473684210526316,guidedbackprop,5.0
0.05,guidedbackprop,6.0
0.05263157894736842,guidedbackprop,7.0
0.05263157894736842,guidedbackprop,8.0
0.05263157894736842,guidedbackprop,9.0
0.05263157894736842,guidedbackprop,10.0
0.05263157894736842,guidedbackprop,12.0
0.05263157894736842,guidedbackprop,14.0
0.05263157894736842,guidedbackprop,16.0
0.05263157894736842,guidedbackprop,18.0
0.05263157894736842,guidedbackprop,20.0
0.05263157894736842,guidedbackprop,22.0
0.05263157894736842,guidedbackprop,24.0
0.05263157894736842,guidedbackprop,26.0
0.05263157894736842,guidedbackprop,28.0
0.05263157894736842,guidedbackprop,30.0
