mi,class,attr_method,contrast
0.046485647535810415,reward,tscore,subt-vs-grpt
0.04884454840908781,reward,tscore,subt-vs-grpt
0.03455008008036664,reward,tscore,subt-vs-grpt
0.027267240862626885,reward,tscore,subt-vs-grpt
0.041312780336574484,reward,tscore,subt-vs-grpt
0.035630910124874404,reward,tscore,subt-vs-grpt
0.0307863094884242,reward,tscore,subt-vs-grpt
0.04846933543975407,reward,tscore,subt-vs-grpt
0.023804357101044893,reward,tscore,subt-vs-grpt
0.05525417412544087,reward,tscore,subt-vs-grpt
0.03790873775802517,reward,tscore,subt-vs-grpt
0.04509634836526999,reward,tscore,subt-vs-grpt
0.04674352284596761,reward,tscore,subt-vs-grpt
0.038105067855521035,reward,tscore,subt-vs-grpt
0.028113064722801617,reward,tscore,subt-vs-grpt
0.023291112706064432,reward,tscore,subt-vs-grpt
0.0623440095227048,reward,tscore,subt-vs-grpt
0.03228239260420285,reward,tscore,subt-vs-grpt
0.028070061701631843,reward,tscore,subt-vs-grpt
0.04096978637235438,reward,tscore,subt-vs-grpt
0.08845933030442854,mental,tscore,subt-vs-grpt
0.08578981133272645,mental,tscore,subt-vs-grpt
0.06580680066714173,mental,tscore,subt-vs-grpt
0.07739925319699825,mental,tscore,subt-vs-grpt
0.08308256113214174,mental,tscore,subt-vs-grpt
0.058613791055900144,mental,tscore,subt-vs-grpt
0.06432465267422671,mental,tscore,subt-vs-grpt
0.08656999911854601,mental,tscore,subt-vs-grpt
0.07282775203421821,mental,tscore,subt-vs-grpt
0.0812165929510531,mental,tscore,subt-vs-grpt
0.07789624455676059,mental,tscore,subt-vs-grpt
0.0840522223132929,mental,tscore,subt-vs-grpt
0.05507840119547858,mental,tscore,subt-vs-grpt
0.09633307728899076,mental,tscore,subt-vs-grpt
0.07863819750828505,mental,tscore,subt-vs-grpt
0.07656664245129452,mental,tscore,subt-vs-grpt
0.08998815413983241,mental,tscore,subt-vs-grpt
0.07948042265956534,mental,tscore,subt-vs-grpt
0.07869048219056651,mental,tscore,subt-vs-grpt
0.09313476071077353,mental,tscore,subt-vs-grpt
0.07506391080101071,random,tscore,subt-vs-grpt
0.06423693979921641,random,tscore,subt-vs-grpt
0.04982407941465716,random,tscore,subt-vs-grpt
0.062120911627221,random,tscore,subt-vs-grpt
0.06241721685985091,random,tscore,subt-vs-grpt
0.06286536903049456,random,tscore,subt-vs-grpt
0.04899681972098513,random,tscore,subt-vs-grpt
0.07770800690243451,random,tscore,subt-vs-grpt
0.03753400593646816,random,tscore,subt-vs-grpt
0.053541624234335394,random,tscore,subt-vs-grpt
0.07016851062059803,random,tscore,subt-vs-grpt
0.08412746431290508,random,tscore,subt-vs-grpt
0.04043111935726884,random,tscore,subt-vs-grpt
0.08351543319838317,random,tscore,subt-vs-grpt
0.06319098599161599,random,tscore,subt-vs-grpt
0.06406355221682425,random,tscore,subt-vs-grpt
0.0706448586586248,random,tscore,subt-vs-grpt
0.07317841886933163,random,tscore,subt-vs-grpt
0.07570511308756966,random,tscore,subt-vs-grpt
0.07265274776198183,random,tscore,subt-vs-grpt
