"Name","Agent","Runtime","Hostname","Notes","GPU Type","GPU Count","Tags","batch_size","dropout","kernel_size","learning_rate","best_valid_epoch","test_loss","train_acc","train_loss","valid_acc","valid_loss","test_accuracy","best_valid_accuracy"
"motor-explo-1665430262.6761427","lq978dqb","2149","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.4","7","0.00001","29","0.0005160055250780716","1","0.0031152370357006277","0.9642857142857144","0.1646813633698647","1","0.9642857142857144"
"motor-explo-1665590352.7467735","lq978dqb","1468","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.5","7","0.001","23","0.00000219301010329076","1","0.00032571706411991624","0.9571428571428572","0.44643805602099745","1","0.9642857142857144"
"motor-explo-1665432415.6217792","lq978dqb","1082","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.4","7","0.0001","9","7.545663538621738e-7","1","0.00003265780578946474","0.9571428571428572","0.39770834834812946","1","0.9642857142857144"
"motor-explo-1665519515.8508215","lq978dqb","1953","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.3","5","0.00001","49","0.011687871846204092","0.9946428571428572","0.020333724733791313","0.9571428571428572","0.17287796001053518","1","0.9642857142857144"
"motor-explo-1665574408.452853","kuhcmqm6","15164","Philipps-iMac.local","-","","","","32","0.3","7","0.0001","13","0.00000902489773574322","0.9982142857142856","0.0014430990588864977","0.9642857142857144","0.2304932592555815","1","0.9642857142857144"
"motor-explo-1665450174.5145435","lq978dqb","1190","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.6","7","0.0001","11","4.529902602712355e-7","0.9982142857142856","0.006267761675850509","0.9571428571428572","0.3277554187056204","1","0.9642857142857144"
"motor-explo-1665480901.4476714","lq978dqb","2506","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.4","7","0.00001","38","0.002344322229314107","0.9982142857142856","0.009705949283725548","0.9571428571428572","0.1390593370650903","1","0.9642857142857144"
"motor-explo-1665427113.8649285","lq978dqb","542","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.4","3","0.0001","8","0.0000072960975554536844","1","0.00220778718179977","0.9785714285714284","0.09131643485381602","1","0.9642857142857144"
"motor-explo-1665467722.9865618","lq978dqb","1748","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.3","5","0.00001","41","0.00901765956202966","1","0.004958213138516498","0.95","0.1805303087942952","1","0.9642857142857144"
"motor-explo-1665479776.5096877","lq978dqb","630","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.4","5","0.0001","7","0.00007602931220254469","1","0.00615782061103546","0.9571428571428572","0.11382939180060692","1","0.9642857142857144"
