mi,class,fold,attr_method
0.02923273487503164,footleft,0,lrp
0.032815200280775114,footleft,0,lrp
0.020293222889043783,footleft,0,lrp
0.024005753321818535,footleft,0,lrp
0.02926734909279105,footleft,0,lrp
0.040855553840805525,footleft,0,lrp
0.03894497713286116,footleft,0,lrp
0.03292750038669179,footleft,0,lrp
0.03568683633057357,footleft,0,lrp
0.03763874666186284,footleft,0,lrp
0.027789300086834334,footleft,0,lrp
0.04202003280809574,footleft,0,lrp
0.025823656924868654,footleft,0,lrp
0.039533741718151605,footleft,0,lrp
0.037054720643181494,footleft,0,lrp
0.03480932946495585,footleft,0,lrp
0.026796469589668526,footleft,0,lrp
0.03188177424538852,footleft,0,lrp
0.032989053081149855,footleft,0,lrp
0.03928137273168364,footleft,0,lrp
0.03152379906818625,footleft,1,lrp
0.023225156990403617,footleft,1,lrp
0.02272998783102098,footleft,1,lrp
0.017388132503319387,footleft,1,lrp
0.038054991352379997,footleft,1,lrp
0.05165514040853325,footleft,1,lrp
0.04194244507269307,footleft,1,lrp
0.03381748296615594,footleft,1,lrp
0.047306269057133976,footleft,1,lrp
0.023275939376512067,footleft,1,lrp
0.03586541233098961,footleft,1,lrp
0.05141890342944633,footleft,1,lrp
0.03068307663962422,footleft,1,lrp
0.0509459005825319,footleft,1,lrp
0.04498416591102794,footleft,1,lrp
0.018078928816573026,footleft,1,lrp
0.038198187051679655,footleft,1,lrp
0.017637510690285074,footleft,1,lrp
0.0343163229702379,footleft,1,lrp
0.054232133121411286,footleft,1,lrp
0.022246588515365984,footleft,2,lrp
0.01805097176609305,footleft,2,lrp
0.012194489783774243,footleft,2,lrp
0.020862326713864565,footleft,2,lrp
0.021137719195921667,footleft,2,lrp
0.023769692723510705,footleft,2,lrp
0.02781555050517026,footleft,2,lrp
0.008334620950025906,footleft,2,lrp
0.02895415520861122,footleft,2,lrp
0.029808573879600786,footleft,2,lrp
0.02920423568278485,footleft,2,lrp
0.03258045035125301,footleft,2,lrp
0.023632485732548947,footleft,2,lrp
0.029570566867451298,footleft,2,lrp
0.02954248220043154,footleft,2,lrp
0.02854571943358497,footleft,2,lrp
0.023614077139719747,footleft,2,lrp
0.02550593388681288,footleft,2,lrp
0.025719894637316054,footleft,2,lrp
0.03218339708586382,footleft,2,lrp
0.025085992054681316,footleft,3,lrp
0.03167354592929983,footleft,3,lrp
0.01867122403369348,footleft,3,lrp
0.02487833047731436,footleft,3,lrp
0.03169784897340033,footleft,3,lrp
0.051248508979435003,footleft,3,lrp
0.03374827408118786,footleft,3,lrp
0.02870840415281206,footleft,3,lrp
0.03757149151106698,footleft,3,lrp
0.03911348292454475,footleft,3,lrp
0.039014995141472,footleft,3,lrp
0.04500837822896164,footleft,3,lrp
0.025439079158136257,footleft,3,lrp
0.039107229748769345,footleft,3,lrp
0.030877349489789818,footleft,3,lrp
0.0364731524659021,footleft,3,lrp
0.034172981681596104,footleft,3,lrp
0.027100734792223413,footleft,3,lrp
0.03590001411948318,footleft,3,lrp
0.04536624211638718,footleft,3,lrp
0.02937370368043113,footleft,4,lrp
0.035692984738076916,footleft,4,lrp
0.019632066365230516,footleft,4,lrp
0.027636393742363596,footleft,4,lrp
0.0344536492133205,footleft,4,lrp
0.05083522009650587,footleft,4,lrp
0.039845204598289996,footleft,4,lrp
0.03823064513762153,footleft,4,lrp
0.03585686981072911,footleft,4,lrp
0.0408032586839,footleft,4,lrp
0.039010879825050804,footleft,4,lrp
0.048626277270778395,footleft,4,lrp
0.034191025690820886,footleft,4,lrp
0.04214259561618894,footleft,4,lrp
0.03720232238427501,footleft,4,lrp
0.037340841953349635,footleft,4,lrp
0.038542446316696344,footleft,4,lrp
0.03754720162567593,footleft,4,lrp
0.03807900018936472,footleft,4,lrp
0.05047170248901933,footleft,4,lrp
0.03171347832457583,footleft,5,lrp
0.03370492641645906,footleft,5,lrp
0.023474497315270515,footleft,5,lrp
0.023746475556639668,footleft,5,lrp
0.03017007295618357,footleft,5,lrp
0.036731968043906216,footleft,5,lrp
0.04036028763195909,footleft,5,lrp
0.03593874460045132,footleft,5,lrp
0.03781334104608991,footleft,5,lrp
0.042528419757151825,footleft,5,lrp
0.03499280886986189,footleft,5,lrp
0.0423279500130751,footleft,5,lrp
0.030520088520105793,footleft,5,lrp
0.03979970717920267,footleft,5,lrp
0.03484733291320996,footleft,5,lrp
0.036397618376305285,footleft,5,lrp
0.035126348772448024,footleft,5,lrp
0.03839330627345072,footleft,5,lrp
0.03506714469433958,footleft,5,lrp
0.042241808451090934,footleft,5,lrp
0.029675716735809266,footleft,6,lrp
0.033674275323062774,footleft,6,lrp
0.028893682489776085,footleft,6,lrp
0.022094711192961025,footleft,6,lrp
0.03010015206598604,footleft,6,lrp
