mi,class,fold,attr_method,contrast
0.28058874261583444,footleft,3,lrp,attr-real-vs-shuffled
0.39504338803932715,footleft,3,lrp,attr-real-vs-shuffled
0.27670767899528936,footleft,3,lrp,attr-real-vs-shuffled
0.41033911084410235,footleft,3,lrp,attr-real-vs-shuffled
0.39395191505156824,footleft,3,lrp,attr-real-vs-shuffled
0.4270314710282088,footleft,3,lrp,attr-real-vs-shuffled
0.29885408317986695,footleft,3,lrp,attr-real-vs-shuffled
0.22037238619565436,footleft,3,lrp,attr-real-vs-shuffled
0.3965254015809121,footleft,3,lrp,attr-real-vs-shuffled
0.3034915474850859,footleft,3,lrp,attr-real-vs-shuffled
0.31589768338554514,footleft,3,lrp,attr-real-vs-shuffled
0.39452178544091954,footleft,3,lrp,attr-real-vs-shuffled
0.2931375803161007,footleft,3,lrp,attr-real-vs-shuffled
0.35656054545813465,footleft,3,lrp,attr-real-vs-shuffled
0.32314554544108987,footleft,3,lrp,attr-real-vs-shuffled
0.46320755595585705,footleft,3,lrp,attr-real-vs-shuffled
0.31459482631635716,footleft,3,lrp,attr-real-vs-shuffled
0.3318102280398314,footleft,3,lrp,attr-real-vs-shuffled
0.32589233381204075,footleft,3,lrp,attr-real-vs-shuffled
0.34706414629510185,footleft,3,lrp,attr-real-vs-shuffled
0.04946135061788404,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.056226954744064805,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.04962501573239386,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.038172943118652825,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.038058306533096165,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.0392180217526894,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.0494711969899031,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.08077557379312328,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.033490293474403465,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.057152988818176986,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.05369415188577875,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.045653028129813755,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.046007396749415896,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.05070590975869482,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.047162024943462555,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.043689511139531234,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.057915579942190654,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.05765711915888794,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.04534043940236021,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.046993870571839125,footleft,3,guidedbackprop,attr-real-vs-shuffled
0.21127689342169642,footright,3,lrp,attr-real-vs-shuffled
0.22115501574835505,footright,3,lrp,attr-real-vs-shuffled
0.20088474894614983,footright,3,lrp,attr-real-vs-shuffled
0.2241808735909352,footright,3,lrp,attr-real-vs-shuffled
0.25029488874800254,footright,3,lrp,attr-real-vs-shuffled
0.3574053060055622,footright,3,lrp,attr-real-vs-shuffled
0.24742034087307374,footright,3,lrp,attr-real-vs-shuffled
0.21208241997874389,footright,3,lrp,attr-real-vs-shuffled
0.28850960645548174,footright,3,lrp,attr-real-vs-shuffled
0.32432449805753016,footright,3,lrp,attr-real-vs-shuffled
0.26727794841792996,footright,3,lrp,attr-real-vs-shuffled
0.3856463492720801,footright,3,lrp,attr-real-vs-shuffled
0.25299816463917857,footright,3,lrp,attr-real-vs-shuffled
0.18274572069573125,footright,3,lrp,attr-real-vs-shuffled
0.3299469269367128,footright,3,lrp,attr-real-vs-shuffled
0.3420469116704874,footright,3,lrp,attr-real-vs-shuffled
0.21101755473702077,footright,3,lrp,attr-real-vs-shuffled
0.20363796153741287,footright,3,lrp,attr-real-vs-shuffled
0.302495968802023,footright,3,lrp,attr-real-vs-shuffled
0.3026376825181565,footright,3,lrp,attr-real-vs-shuffled
0.07253220427326834,footright,3,guidedbackprop,attr-real-vs-shuffled
0.07899984234208635,footright,3,guidedbackprop,attr-real-vs-shuffled
0.07744466849504672,footright,3,guidedbackprop,attr-real-vs-shuffled
0.048754252601145076,footright,3,guidedbackprop,attr-real-vs-shuffled
0.04195300717290085,footright,3,guidedbackprop,attr-real-vs-shuffled
0.03491720726096581,footright,3,guidedbackprop,attr-real-vs-shuffled
0.04585273049699001,footright,3,guidedbackprop,attr-real-vs-shuffled
0.07027316777927606,footright,3,guidedbackprop,attr-real-vs-shuffled
0.033247942960056065,footright,3,guidedbackprop,attr-real-vs-shuffled
0.046259626918489616,footright,3,guidedbackprop,attr-real-vs-shuffled
0.07021871215607511,footright,3,guidedbackprop,attr-real-vs-shuffled
0.053093429202940357,footright,3,guidedbackprop,attr-real-vs-shuffled
0.05938671062253498,footright,3,guidedbackprop,attr-real-vs-shuffled
0.07122816644205265,footright,3,guidedbackprop,attr-real-vs-shuffled
0.06475125841660034,footright,3,guidedbackprop,attr-real-vs-shuffled
0.04439039414707402,footright,3,guidedbackprop,attr-real-vs-shuffled
0.06287167275854788,footright,3,guidedbackprop,attr-real-vs-shuffled
0.06524379867036689,footright,3,guidedbackprop,attr-real-vs-shuffled
0.046787826685080525,footright,3,guidedbackprop,attr-real-vs-shuffled
0.04311371818892962,footright,3,guidedbackprop,attr-real-vs-shuffled
0.2942494996182141,handleft,3,lrp,attr-real-vs-shuffled
0.19664368694061185,handleft,3,lrp,attr-real-vs-shuffled
0.34966674391477426,handleft,3,lrp,attr-real-vs-shuffled
0.1907499583254575,handleft,3,lrp,attr-real-vs-shuffled
0.364233322875398,handleft,3,lrp,attr-real-vs-shuffled
0.2793120961798383,handleft,3,lrp,attr-real-vs-shuffled
0.34971391465726676,handleft,3,lrp,attr-real-vs-shuffled
0.16477798792822274,handleft,3,lrp,attr-real-vs-shuffled
0.270230941383657,handleft,3,lrp,attr-real-vs-shuffled
0.23621420253600522,handleft,3,lrp,attr-real-vs-shuffled
