svm,cnn_vol,cnn_t
0.38405797101449274,0.4057971014492754,0.5
0.42028985507246375,0.35507246376811596,0.5
0.4855072463768116,0.5289855072463768,0.5
0.5434782608695652,0.45652173913043476,0.5
0.42028985507246375,0.47101449275362317,0.5
0.463768115942029,0.37681159420289856,0.5
0.5797101449275363,0.5652173913043478,0.5
0.427536231884058,0.427536231884058,0.5
0.427536231884058,0.4782608695652174,0.5
0.427536231884058,0.45652173913043476,0.5
0.6159420289855072,0.6231884057971014,0.5
0.43478260869565216,0.5289855072463768,0.5
0.5507246376811594,0.39855072463768115,0.5
0.6884057971014492,0.43478260869565216,0.5
0.5072463768115942,0.5217391304347826,0.5
0.47101449275362317,0.5,0.5144927536231884
0.5869565217391305,0.5507246376811594,0.5
0.4420289855072464,0.6884057971014492,0.5
0.6884057971014492,0.5507246376811594,0.5
0.5579710144927537,0.5869565217391305,0.5
