svm,cnn_vol,cnn_t
0.46794871794871795,0.375,0.25
0.4198717948717949,0.46474358974358976,0.25
0.5032051282051282,0.5128205128205128,0.25
0.44871794871794873,0.483974358974359,0.25
0.532051282051282,0.47435897435897434,0.25
0.5705128205128205,0.6185897435897436,0.25
0.41025641025641024,0.40064102564102566,0.25
0.5352564102564102,0.532051282051282,0.25
0.46474358974358976,0.6057692307692307,0.25
0.46153846153846156,0.3814102564102564,0.25
0.5064102564102564,0.4551282051282051,0.25
0.5737179487179487,0.5993589743589743,0.25
0.5641025641025641,0.5416666666666666,0.25
0.5480769230769231,0.4423076923076923,0.25
0.4935897435897436,0.4326923076923077,0.25
0.47115384615384615,0.6057692307692307,0.25
0.5096153846153846,0.5801282051282052,0.25
0.40705128205128205,0.36538461538461536,0.25
0.8365384615384616,0.7724358974358975,0.25
0.46794871794871795,0.6153846153846154,0.25
