svm,cnn_vol,cnn_t
0.7007299270072993,0.6058394160583942,0.3686131386861314
0.8065693430656934,0.7408759124087592,0.3722627737226277
0.7408759124087592,0.7773722627737226,0.35766423357664234
0.7737226277372263,0.6934306569343066,0.35036496350364965
0.7153284671532847,0.6386861313868614,0.3795620437956204
0.8613138686131386,0.8357664233576643,0.3759124087591241
0.7372262773722628,0.6131386861313869,0.3686131386861314
0.8029197080291971,0.7591240875912408,0.3759124087591241
0.791970802919708,0.7116788321167883,0.3686131386861314
0.6897810218978102,0.5985401459854015,0.3686131386861314
0.7043795620437956,0.7153284671532847,0.4051094890510949
0.7372262773722628,0.5948905109489051,0.3613138686131387
0.8284671532846716,0.6496350364963503,0.36496350364963503
0.7627737226277372,0.8175182481751825,0.3905109489051095
0.791970802919708,0.7299270072992701,0.3722627737226277
0.8065693430656934,0.7591240875912408,0.35766423357664234
0.8503649635036497,0.7773722627737226,0.3686131386861314
0.8394160583941606,0.8102189781021898,0.3613138686131387
0.9379562043795621,0.8175182481751825,0.3686131386861314
0.8540145985401459,0.6240875912408759,0.36496350364963503
